id,timestamp,open_rank_domain,page_rank_integer,page_rank_decimal,website_url,having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result
b022957b-fd89-4b63-946a-378120d51b39,2024-11-19T08:19:01.623485,kraikenzlogiugus.gitbook.io,2,2.13,https://kraikenzlogiugus.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
81219d46-cd35-41f2-b659-6525dc5c1e48,2024-11-19T08:19:13.113864,kraikkn-zzlogin.gitbook.io,3,2.73,https://kraikkn-zzlogin.gitbook.io/us,1,1,1,1,1,-1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
49fff0a5-51b8-4d1e-b639-4222fa91ecfd,2024-11-19T08:19:25.432630,krakeeneloggg.gitbook.io,0,0,https://krakeeneloggg.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
05c7b6cc-f0e6-4ea0-9613-1d60ccbb5ba4,2024-11-19T08:19:35.688684,krakeenluginn.gitbook.io,0,0,https://krakeenluginn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
7f315281-9936-4ec9-b183-8309583250b7,2024-11-19T08:19:49.137717,krakennluginss.gitbook.io,0,0,https://krakennluginss.gitbook.io/usss,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
16229927-b265-4732-bf35-af77ddcec930,2024-11-19T08:20:03.593969,krakkenluginn.gitbook.io,0,0,https://krakkenluginn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
e7e7050d-9333-43f7-a64f-891b37f88bfc,2024-11-19T08:20:13.987610,krakreieinlogon.gitbook.io,3,2.5,https://krakreieinlogon.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
371a17df-47af-48e0-9b5f-a6124675ef48,2024-11-19T08:20:25.574087,kraqunzalogns.gitbook.io,3,2.5,https://kraqunzalogns.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
eccf1020-c4ef-47a6-a8bb-c12933bd02fa,2024-11-19T08:20:38.507622,kreeka-login-1.gitbook.io,3,2.5,https://kreeka-login-1.gitbook.io/us,1,1,1,1,1,-1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
ff4f31c9-0f4b-467f-a8bf-be02571bee96,2024-11-19T08:20:49.653184,krekantblogin.gitbook.io,2,2.13,https://krekantblogin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
