page_rank_decimal,url_length,double_slash_redirecting,prefix_suffix,favicon,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,popupwindow,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,has_numbers,lev,sim_lev,fuzzy,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
0.0,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.6,0,24,1,-1,36,-1
0.0,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,0.5,1,0,0,1,0,-1
8.81,-1,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1.0,1,0,1,1,4,-1
4.88,-1,1,1,1,0,1,0,0,1,1,1,1,-1,0,1,1,1,1,0,0.6,0,20,1,1,3,1
3.24,0,1,1,1,-1,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.5,0,20,1,1,3,1
2.43,0,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,0,0,0.6,0,55,1,1,6,1
2.45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,1,0,0.6,1,0,0,1,0,-1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.6666666666666666,1,0,0,1,0,-1
2.73,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0.7142857142857143,0,20,1,1,3,1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0.25,0,60,1,0,9,-1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,0,1.0,1,0,0,1,0,-1
2.87,1,1,1,1,0,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.6666666666666666,0,36,1,1,4,1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.6666666666666666,1,0,0,1,0,-1
2.16,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,-1,23,-1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0.25,0,60,1,0,9,-1
3.25,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.6,0,20,1,1,3,1
1.49,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,13,-1
4.0,0,1,1,1,0,-1,0,0,-1,1,0,1,1,0,1,-1,1,0,0,0.4,0,67,1,1,2,1
3.22,-1,1,-1,1,1,1,0,-1,1,1,1,1,-1,0,1,1,1,1,0,0.6,0,20,1,1,3,1
0.0,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,0,0.3333333333333333,0,33,1,-1,23,-1
0.0,1,1,-1,-1,0,0,0,-1,1,1,1,1,1,-1,-1,-1,0,0,0,0.25,0,24,1,0,10,-1
4.86,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,0,0.7142857142857143,1,0,0,1,0,1
0.0,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0.5,0,20,1,-1,36,-1
0.0,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,0,0,0,0.5,0,22,1,0,9,-1
5.27,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0,40,1,1,4,1
0.0,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,0.5714285714285714,0,36,1,0,14,-1
4.91,1,1,1,-1,0,0,0,-1,1,-1,1,1,-1,0,1,-1,1,1,0,0.6666666666666666,0,55,1,1,4,1
3.2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.5,1,0,0,1,0,1
3.94,0,1,1,1,-1,0,0,1,1,1,1,1,-1,0,1,-1,1,1,0,0.6666666666666666,0,20,1,1,3,1
8.64,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0.7142857142857143,1,0,0,1,0,-1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.7142857142857143,1,0,0,1,0,-1
2.92,-1,1,-1,1,0,1,0,-1,1,1,1,1,1,0,1,1,1,1,0,0.7142857142857143,0,20,1,1,3,1
0.0,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,1,0,0.5,1,0,0,1,0,1
2.53,0,1,1,1,0,1,0,1,-1,1,1,1,-1,0,1,1,1,1,0,0.5714285714285714,1,0,0,1,0,1
0.0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-1,-1,1,1,0,0.4285714285714285,0,53,1,0,9,1
2.93,0,1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,1,0,0.5,1,0,0,1,0,1
0.0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,1,0,0.4,0,57,1,-1,20,-1
